country,unit,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3
MALAYSIA,RINGGIT,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.772,3.779,3.714,3.629,3.68,3.51,3.397,3.397,3.5,3.362,3.192,3.238,3.377,3.498,3.703,3.513,3.52,3.422,3.261,3.225,3.146,3.17,3.05,3.02,3.19,3.155,3.062,3.17,3.055,3.057,3.09,3.16,3.26,3.277,3.28,3.21,3.28,3.495,3.702,3.774,4.394,4.29,3.9,4.025,4.132
MALI,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,475,477.79,480.52,516.65,538.7,606.41,586.93,585.31,602.79,575.7,590.69,587.51
MALTA,EURO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
MALTA,LIRA,0.444,0.466,0.447,0.452,0.46,0.44,0.422,0.401,0.393,0.365,0.368,0.348,0.348,0.35,0.352,0.326,0.326,0.349,0.35,0.362,0.362,0.334,0.336,0.327,0.32,0.32,0.315,0.293,0.294,0.2949,0.3128,0.294,,,,,,,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,,,,,,,,,,,,,,
MARSHALLS ISLANDS,DOLLAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MARTINIQUE,EURO,,,,,,,,,,,,,,,,,,,0.815,0.815,0.815,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.82,0.93,0.895,0.892,0.919,0.878,0.9,0.896
MARTINIQUE,FRENCH FRANCS,7.105,7.749,7.217,7.361,7.562,,,,,0.845,0.856,0.856,,,0.82,0.753,0.754,0.81,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAURITANIA,OUGUIYA,239.38,239.38,254.35,254.35,276.96,276.96,276.96,276.96,276.96,268.22,260.05,268.42,268.42,268.42,269.8,269.8,269.8,269.8,269.8,268.51,268.51,268.51,271,271,271,271,271,271,261,246,260,260,260,270,270,270,270,280,280,290,290,290,290,290,290,290,295,300,300,300,305,295,300,300,300,305,315,320,325,330,345,350,350
MAURITIUS,RUPEE,27.92,28.65,29.4,30.1,30.1,30,29.35,28.95,27.33,26.85,28.25,26.05,26.3,28.05,28.1,28.24,28.45,28.85,29.35,30.2,30.5,30.7,32.5,33.1,31,31,30.8,25.7,27.2,27.55,32.5,31.75,34,32,31.4,29,33.3,32,30.35,30.3,28.9,27.85,28.4,29.2,28.8,29.5,30.5,30.45,31.2,30.85,30.4,29.95,29.95,30.15,31.45,31.7,36.42,35.13,35.45,35.8,35.1,35.36,35.4
MEXICO,PESO,9.68,9.14,9.2,9.14,9.12,9.62,9.92,10.46,11.05,10.32,11.04,11.2,11.16,11.41,11.38,11.235,11.091,10.885,10.808,10.638,10.449,11.28,10.947,10.794,10.745,10.745,11.027,10.895,10.689,10.336,13.281,15.002,13.385,13.138,13.325,13.099,12.364,12.806,13.207,12.5,12.12,11.74,13.764,13.785,12.755,14.11,12.82,13.04,12.32,13.02,13.2,13.089,13.25,12.987,13.5,14.702,15.351,15.679,16.944,17.362,17.17,18.58,19.46
MICRONESIA,DOLLAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MOLDOVA,LEU,12.85,12.835,11.776,12.862,12.862,13.56,13.68,13.85,14.27,14,12.8,12.95,11.8,11.95,11.97,12.4,12.6,12.55,12.49,12.81,13.005,13.21,13.3,12.95,12.258,12.258,11.97,11.168,11.098,10.15,9.64,10.33,10.67,11.21,11.172,12.185,12.352,12.83,12.1,12.17,11.9,11.57,11.75,11.682,11.782,12.01,12.36,12.063,12.35,12.38,12.95,12.895,13.58,13.975,14.24,15.552,17.75,18.85,19.97,19.6,19.5,19.8,19.68
MONGOLIA,TUGRIK,1098,1095,1099,1102,1104,1103,1116,1126,1126,1129,1159,1171,1179,1163,1195,1208,1210,1192,1205,1229,1200,1179,1170,1170,1170,1170,1187.25,1187.25,1187.25,1187.25,1187.25,1573.9,1471.9301,1430.8101,1441.78,1435.88,1370.4301,1383.33,1299.6899,1262.45,1255.24,1264.64,1261.9,1377.5,1328.04,1320.65,1402.62,1394.31,1410.37,1444.03,1646.48,1654.1,1787.59,1826.56,1840.54,1885.6,1982.09,1953.19,1967.05,1967.05,2050.73,1962.53,2284.39
MONTENEGRO,EURO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
MOROCCO,DIRHAM,10.695,11.803,11.29,11.532,11.699,11.019,10.617,10.155,9.87,9.207,9.357,8.835,8.975,8.949,9.066,8.47,8.502,8.871,9.036,9.253,9.242,8.633,8.705,8.42,8.349,8.349,8.245,7.728,7.56,7.402,8.564,8.383,8.719,8.039,7.904,7.903,8.334,8.96,8.712,8.5,8.17,7.87,8.23,8.484,8.442,8.87,8.635,8.434,8.64,8.53,8.27,8.147,8.18,8.226,8.63,9.024,9.918,9.785,9.726,9.874,9.674,9.792,9.73
MOZAMBIQUE,METICAL,18025,20270,21740,23090,23250,23535,23680,23723,23726,23641,23522,23532,23517,23361,19602,19684,20885,23527,24291,26836,26588,26228,25720,26140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZAMBIQUE,NEW METICAL,,,,,,,,,,,,,,,,,,,,,,,,,26.19,26.19,25.81,24.54,24.23,24.08,23.86,25.24,26.71,26.72,27.46,29.28,35.5,34.8,37.4,35.71,32.65,29.4,27.4,26.95,27.45,27.3,28.25,29.6,30.2,29.8,29.8,29.8,31.4,31.2,30.5,33.05,36.77,38.45,41.6,45.5,47.75,61.4,77.2
NAMIBIA,DOLLAR,7.681,7.995,8.434,11.99,11.337,9.768,10.508,8.555,8.125,8.041,6.938,6.865,6.311,6.509,5.726,5.794,5.77,6.74,6.44,6.335,6.174,6.668,7.189,6.906,7.122,7.122,7.151,7.921,7.715,7.568,10.154,9.466,8.034,7.708,7.78,7.369,7.317,7.625,7.365,7.07,6.96,6.8,8.067,8.142,7.658,8.49,8.245,8.485,9.25,9.97,10.08,10.48,10.63,10.605,11.26,11.566,12.209,12.246,13.837,15.556,14.718,14.851,13.848
NEPAL,RUPEE,73.7,74.45,74.7,76.15,77.35,78.05,78.05,77.8,77.8,76.3,74.3,73.8,72.85,73.45,74.7,72.55,70.7,70.05,70.8,72.9,71.45,73.85,74.4,70.75,64.85,64.85,65.75,63.8,63.55,68.4,77.45,77.65,79.65,76.75,77.6,74.4,71.95,74.05,74.7,72.95,72.2,71.3,78.05,84.05,81.6,89.95,84.05,87.3,86.9,95.5,100.15,98.8,100.6,95.9,97,101.4,99.7,101.4,105.75,105.75,105.9,108.15,105.95
NETHERLANDS,EURO,1.083,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
NETHERLANDS,GUILDER,2.387,2.603,2.425,2.473,2.541,,,,,,,,,,0.82,0.753,0.754,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS ANTILLES,GUILDER,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
NEW ZEALAND,DOLLAR,2.324,2.447,2.28,2.4,2.366,2.083,2.136,1.907,1.788,1.732,1.68,1.556,1.502,1.589,1.523,1.399,1.371,1.417,1.444,1.465,1.512,1.571,1.565,1.413,1.358,1.358,1.425,1.303,1.243,1.515,1.808,1.908,1.566,1.534,1.459,1.374,1.413,1.439,1.433,1.34,1.33,1.21,1.308,1.291,1.216,1.32,1.2,1.216,1.2,1.28,1.21,1.216,1.19,1.144,1.29,1.275,1.337,1.481,1.568,1.461,1.439,1.407,1.375
NICARAGUA,CORDOBA,12.9,13.1,13.58,13.78,13.86,14.17,14.35,14.57,14.74,14.89,15.24,15.39,15.65,15.77,15.94,16.16,16.24,16.33,16.37,17.12,17.27,17.5,17.68,17.98,18.33,18.33,18.5,18.8,19.05,19.25,19.49,19.84,19.97,20.33,20.5,20.84,21.05,21.35,21.53,21.79,22.06,22.42,22.7,22.98,23.26,23.31,23.79,24.1,24.35,24.59,24.84,25.33,25.55,25.75,26.05,26.6,26.8,27,27.45,27.86,28.2,28.55,28.85
NIGER,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,475,477.79,480.52,516.65,538.7,606.41,586.93,585.31,602.79,575.7,590.69,587.51
NIGERIA,NAIRA,113,112.8,112.26,119,117.3,114.2,127,124.85,127.8,129.5,131.05,137.3,130,130.5,131.25,132.05,130,130.25,130.25,130.2,127.5,128,128.15,128,127.5,127.5,126.15,118.7,117.02,117.8,134,138.9,147.05,147.7,154.05,149.45,149.9,150.23,151.3,150.6,153.02,152,160.45,163.65,157.65,159.9,157.2,156.1,158.45,161.9,160.65,159.7,165.1,162.75,163.78,182.9,199,198.9,198,198.9,199,282.5,321.75
NORWAY,KRONE,8.911,9.364,8.863,8.972,8.902,8.018,7.541,6.953,7.146,6.657,7.037,6.748,6.875,6.722,6.189,6.137,6.191,6.436,6.404,6.757,6.068,6.068,6.285,6.26,6.042,6.042,5.817,5.517,5.202,5.752,6.897,6.872,6.985,6.423,6.007,5.764,5.938,6.461,6.326,6.2,5.59,5.37,5.834,5.937,5.691,6.06,5.689,5.584,5.83,6.04,6.01,6.083,6,6.16,6.45,7.39,8.089,7.865,8.489,8.829,8.272,8.385,8.03
OMAN,RIAL,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.384,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.384,0.384,0.385,0.39,0.39,0.39,0.384,0.385,0.385,0.39,0.385,0.385,0.39,0.39,0.39,0.385,0.39,0.385,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385
PAKISTAN,RUPEE,59.25,61.5,63,58,58,58,58,58,58,57.7,57.75,57.15,57.1,57.69,58.62,59.65,59.31,59.2,59.53,59.72,59.85,60.1,60.26,60.84,60.72,60.72,60.65,61.14,62.58,76.13,75.38,77.7,79.95,81.35,82.85,84.2,83.9,85.42,85.4,85.7,85.67,85.95,87.36,89.16,90.54,93.55,94.75,97.18,98.38,99.2,105.8,105.16,104.87,98.6,102.55,100.9,101.92,101.75,104.45,104.7,104.7,104.6,104.42
PALAU,DOLLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PANAMA,BALBOA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAPUA NEW GUINEA,KINA,3.106,3.29,3.436,3.854,3.578,3.759,3.937,3.937,3.584,3.546,3.29,3.247,3.096,3.087,3.003,3.026,2.998,2.966,2.931,2.921,2.888,2.941,2.852,2.838,2.883,2.883,2.797,2.672,2.675,2.585,2.491,2.545,2.628,2.506,2.539,2.523,2.538,2.646,2.525,2.48,2.52,2.15,2.118,2.062,1.988,1.95,1.945,1.944,1.99,2.1,2.43,2.353,2.43,2.378,2.44,2.544,2.625,2.681,2.809,2.941,3.091,3.115,3.17
PARAGUAY,GUARANI,3735,3850,4320,4600,4920,5140,6180,7050,6850,6250,6200,5875,5820,5900,5880,6090,6250,6220,6050,6050,5990,5690,5360,5130,5030,5030,5090,4695,4030,4020,4830,4880,5080,4960,4920,4650,4700,4740,4730,4700,4530,3950,4040,4360,4280,4500,4430,4245,3996,4465,4425,4585.44,4430.4102,4388.16,4473.9302,4629.3,4795.37,5177.16,5611,5750,5644,5622,5563
PERU,NUEVO SOL,3.52,3.63,3.48,3.44,3.47,3.46,3.62,3.52,3.48,3.49,3.49,3.46,3.46,3.49,3.35,3.3,3.26,3.25,3.27,3.43,3.29,3.3,3.24,3.19,3.17,3.17,3.16,3,2.89,2.84,2.96,3.14,3.24,3,2.94,2.89,2.84,2.82,2.8,2.83,2.78,2.75,2.77,2.69,2.67,2.7,2.59,2.55,2.59,2.78,2.78,2.79,2.81,2.79,2.9,2.99,3.08,3.16,3.226,3.394,3.366,3.276,3.384
PHILIPPINES,PESO,48.2,50.4,50.9,51.45,51.15,50.1,51.77,53.38,54.45,53.1,54.8,55.45,56.1,55.86,56.12,56.1,54.6,54.35,56.17,52.99,51.59,52.81,51.15,48.81,46.2,46.2,41.56,42.3,40.35,43.74,45.71,46.34,48.78,48.11,48.78,46.45,45.16,46.5,45.31,44.1,43.58,43.33,43.72,43.47,42.92,43.49,41.715,41.04,40.83,43.09,43.49,44.38,44.61,43.64,44.96,44.775,44.68,45.097,46.68,46.836,45.919,47.053,48.378
POLAND,ZLOTY,4.038,3.98,4.237,3.96,4.223,4.016,4.128,3.833,3.908,3.723,3.927,3.742,3.872,3.794,3.139,3.153,3.24,3.367,3.28,3.253,3.181,3.061,3.09,2.908,2.833,2.833,2.516,2.456,2.328,2.171,2.91,3.465,3.198,2.849,2.851,2.85,3.317,3.357,3.161,3.11,2.86,2.76,3.269,3.388,3.111,3.54,3.175,3.104,3.26,3.32,3.13,3.014,3.02,3.045,3.31,3.513,3.802,3.749,3.785,3.917,3.733,3.989,3.867
PORTUGAL,EURO,,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.955,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
PORTUGAL,ESCUDO,217.16,236.84,220.58,224.98,231.13,,,,,,,,,,0.82,0.753,0.754,0.81,174.51,174.51,174.51,174.51,174.51,174.51,174.51,174.51,174.51,174.51,174.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QATAR,RIYAL,3.64,3.639,3.641,3.638,3.641,3.64,3.64,3.64,3.64,3.639,3.64,3.64,3.64,3.64,3.64,3.639,3.638,3.638,3.64,3.64,3.639,3.64,3.64,3.641,3.64,3.64,3.64,3.629,3.631,3.64,3.639,3.641,3.641,3.64,3.638,3.642,3.64,3.641,3.64,3.64,3.64,3.64,3.641,3.64,3.641,3.64,3.641,3.64,3.64,3.64,3.64,3.641,3.64,3.64,3.64,3.642,3.641,3.641,3.642,3.641,3.641,3.641,3.642
REPUBLIC OF PALAU,DOLLAR,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
ROMANIA,LEU,27056,28770,30035,31740,32566,33500,33200,33490,32920,32190,32896,32492,33388,33410,29608,28874,27349,29310,28560,29766,29305,28565,27882,25499,23576,23576,23576,23576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMANIA,NEW LEU,,,,,,,,,,,,,,,,,,,2.954,3.117,2.925,2.751,2.788,2.55,2.426,2.426,2.396,2.38,2.46,2.334,2.877,3.313,3,2.984,2.94,2.942,3.453,3.55,3.352,3.29,3.05,2.93,3.226,3.28,3.281,3.6,3.502,3.366,3.44,3.42,3.3,3.25,3.26,3.212,3.5,3.685,4.099,3.998,3.937,4.154,3.924,4.071,3.988
RUSSIA,RUBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.74,32.46,32.864,36.13,33.985,39.5,58.676,58.13,55.648,65.279,73.795,66.944,64.418,63.198
RWANDA,FRANC,433.49,439.75,441.33,457.67,459.74,467.27,482.75,510.87,510.87,528.13,555.7,577.29,582.44,580.64,574.936,569.46,564.12,559.74,557.598,553.12,553.12,551.45,551.45,549.28,546.2,546.2,548.83,546.53,546.53,543.85,543.85,558.4,565.57,567.51,567.51,569.47,573.02,582.51,590.37,592.02,599.3,602.15,599.75,601.15,605.71,607.54,620.89,630.03,633.66,641.3,656.66,665.69,674.24,680.92,684.94,689.19,705.45,716.45,722.38,742.33,780,780,815
SAO TOME & PRINCIPE,DOBRAS,7314.6001,7314.6001,7314.6001,8961.769,9015.2881,8996.4482,9120.8193,9111.6182,9053.4395,9192.7031,9192.703,9192.703,9192.703,9192.703,9192.7031,9192.7031,9192.7031,9192.7031,9192.7031,11680.0068,11925.7139,11663.1426,11663.1426,11663.143,11663.1426,13261.463,13261.4629,13261.4629,13261.4629,13261.4629,14486.7158,15841.753,17020.7852,15453.2666,15657.0576,16539.215,20203.148,19929.538,19272.1973,18526.1191,17843.3809,17248.2598,18043.376,18790.588,18370.757,19565.0098,18946.053,18469.061,19189.4102,18812.2305,18143.5801,17736.436,17850.1504,18007.564,19274.0098,20087.711,22569.006,21872.002,21972.003,22350.3086,21966.0137,22126.695,21837.008
SAUDI ARABIA,RIYAL,3.75,3.75,3.749,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.749,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
SENEGAL,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,475,477.79,480.52,516.65,538.7,606.41,586.93,585.31,602.79,575.7,590.69,587.51
SERBIA,DINAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.41,84.89,83.13,83.81,84.85,93.62,99.46,111.42,109.09,106.49,111.25,108.6,111.07,109.9
SEYCHELLES,RUPEE,5.733,5.733,5.733,5.733,5.733,5.618,5.618,5.618,5.618,5.618,5.18,5.18,5.18,5.18,5.18,5.198,5.198,5.198,5.198,5.198,5.198,5.198,5.198,6.072,6.124,6.904,7.992,7.983,7.981,7.964,16,15.836,13.424,11.65,10.685,10.918,11,12.236,12.317,12.1,12.03,12.03,12.261,13.356,13.881,14.15,12.888,12.958,11.27,11.74,11.9,11.942,12,12,13,12.98,13.504,12.673,12.939,13.044,13.365,12.935,12.952
SIERRA LEONE,LEONE,1950,1950,2075,2375,2130,2050,2120,2190,2200,2285,2401,2538,2502.06,2600,2616,2847,2850,2877,2905,2930,2975,2956,2880,3015,2995,2990,2984,2976,2967,2950,2940,3000,3044,3625,3938,3930,3909,3910,3929,4146,4243,4351,4466,4381,4353,4323,4325,4317,4316,4300,4325,4340,4321,4345,4567,4990,4808,4855,5402,5750,5985,6507,7165
SINGAPORE,DOLLAR,1.744,1.809,1.74,1.846,1.831,1.788,1.75,1.735,1.739,1.729,1.728,1.708,1.674,1.698,1.71,1.638,1.624,1.664,1.684,1.663,1.622,1.577,1.578,1.534,1.531,1.531,1.523,1.446,1.393,1.366,1.42,1.471,1.545,1.447,1.441,1.401,1.398,1.394,1.356,1.32,1.27,1.23,1.298,1.292,1.257,1.29,1.225,1.222,1.24,1.27,1.26,1.263,1.27,1.249,1.28,1.321,1.374,1.346,1.423,1.416,1.342,1.347,1.364
SLOVAK REPUBLIC,KORUN,47.41,50.7,47.739,48,48.034,46.845,44.18,39.626,38.739,34.801,35.242,33.169,32.73,32.779,29.366,29.62,28.5,31.604,31.562,32.038,31.196,29.361,29.502,26.067,25.221,25.221,24.729,22.604,21.43,19.494,23.53,21.546,21.546,21.546,21.546,21.546,21.546,21.546,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,,,,,,,,,,,,,,
SLOVAK REPUBLIC,EURO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
SLOVENIA,EURO,,,,,,,,,,,,,,,,,,,,,,,,,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,,,,0.695,0.695,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
SLOVENIA,TOLLARS,233.1,266.79,241.39,237.27,257.24,241.76,231.95,219.72,214.67,196.96,201.61,190.87,194.47,195.55,196.71,180.61,180.55,194.01,195.39,202.8,201.45,186.52,187.36,181.5,178.0523,178.0523,175.6559,175.6559,175.6559,,,0.731,0.789,0.71,0.697,,0.74,0.814,0.789,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,,,,,,,,,,,,,,
SOLOMON ISLANDS,DOLLAR,5.045,5.045,5.045,5.045,5.045,5.045,5.045,5.045,5.045,5.045,5.045,5.045,5.045,5.045,7.117,7.117,7.143,7.092,6.757,6.993,6.993,6.969,6.868,6.031,6.698,6.698,7.022,6.944,7.057,7.143,7.143,7.752,7.246,7.491,7.474,7.358,7.616,7.463,7.576,7.4,7.25,7.07,6.969,6.897,6.757,6.63,6.873,7.321,7.3,6.9,6.85,7.032,7.09,7.067,7.17,7.31,7.435,7.862,7.692,8.071,7.728,7.547,7.502
SOUTH AFRICA,RAND,7.677,7.995,8.434,11.99,11.337,9.768,10.508,8.555,8.125,8.041,6.938,6.865,6.311,6.509,5.726,5.794,5.77,6.74,6.44,6.335,6.174,6.668,7.189,6.906,7.122,7.122,7.151,7.921,7.715,7.568,10.154,9.466,8.034,7.708,7.78,7.369,7.317,7.625,7.365,7.07,6.96,6.8,8.067,8.142,7.658,8.49,8.245,8.485,9.25,9.97,10.08,10.48,10.63,10.605,11.26,11.566,12.209,12.246,13.837,15.556,14.718,14.851,13.848
SOUTH SUDANESE,POUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,18.55,37.5,47,73.5
SOVIET UNION,RUBLE,28.661,29.146,29.42,30.47,30.957,31.332,31.602,31.83,31.574,30.684,30.582,29.234,28.514,29.021,29.253,28.125,27.67,28.236,28.562,28.739,28.076,26.966,26.773,26.305,25.886,25.886,25.637,24.45,24.024,23.729,27.643,34.785,30.999,31.102,31.77,30.311,29.438,31.168,30.842,31.4,28.86,27.91,32.148,31.171,29.348,33.16,30.984,30.523,31.02,,,,,,,,,,,,,,
SPAIN,EURO,,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
SPAIN,PESETA,180.27,196.56,183.06,186.72,191.82,,,,,,,,,,0.82,0.753,0.754,0.81,144.72,144.72,144.72,144.72,144.72,144.72,144.72,144.72,144.72,144.72,144.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRI LANKA,RUPEE,86,91.65,89.75,92.85,93.45,96,96.05,96.45,96.86,97.21,94.26,95.67,97.35,99.08,103.05,104.8,99.45,99.9,101.2,102.01,102.48,102.9,103.25,107.55,110.82,110.82,113,110.45,107.82,107.85,107.72,113.73,114.25,114.82,114.7,114.35,114,113.5,112.7,111.35,110.75,109.45,110.18,113.85,128,131.9,129.3,127.5,126.7,130.35,132,130.75,130.7,130.3,130.45,131.15,132.95,133.7,141.25,144.15,145.25,145.2,146.2
